Item,Desired
Second Method,TRUE
Early Termination Date hereunder,FALSE
Early Termination Date,TRUE
Terminated Transaction,TRUE
Early Termination Amount,TRUE
Early Termination Net Share Settlement,TRUE
Early Termination Date,TRUE
Calculation Notice,TRUE
prospectus delivery,TRUE
Master Agreement,TRUE
Termination Price,TRUE
Free Shares,TRUE
Early Termination Net Share Settlement Payment Date,TRUE
following words,TRUE
prior written consent,TRUE
affiliated entity,TRUE
assignment hereunder,FALSE
Assignment Provision,TRUE
Party B hereunder,FALSE
Party B,TRUE
Calculation Agent,TRUE
manifest error,TRUE
Calculation Agent Adjustment,TRUE
Potential Adjustment Event,TRUE
following Credit Support Document,TRUE
unconditional guarantee,TRUE
Execution time,TRUE
producer community,TRUE
barrett transaction,TRUE
short covering rallies,TRUE
bid week,TRUE
Press Release,TRUE
CPQ Board,TRUE
New York,FALSE
Centana Storage Arrangement,TRUE
Joe Parks,FALSE
ZL Technologies,FALSE
Party A,FALSE
New York Stock Exchange,FALSE
Party B,TRUE
John Arnold,FALSE
Barbara Barbara,FALSE
Enron Party,TRUE
Obligations hereunder,FALSE
other instances,FALSE
liability hereunder,FALSE
termination notice,TRUE
such transaction,FALSE
fractional Share,TRUE
Provisions Section,TRUE
subsequent Reset Date,TRUE
Reset Date,TRUE
an opinion,FALSE
similar form,TRUE
punctual payment,TRUE
and punctual payment,FALSE
prior agreements and understandings,TRUE
Business Day,TRUE
Business Day Convention,TRUE
Business Days,TRUE
Commodity Transactions,TRUE
Creative Commons Attribution,TRUE
Day Count Fraction,TRUE
derivative transactions,TRUE
e&p community,FALSE
each Reset Date,FALSE
Reset Date,TRUE
each subsequent Reset Date,FALSE
subsequent Reset Date,TRUE
economic consequences,TRUE
EDRM Enron Email Data Set,TRUE
Effort Id,TRUE
EMERGENCY CONTACTS,FALSE
Enfolio Master Firm Purchase,TRUE
Equity Notional Reset,TRUE
Exchange Business Days,TRUE
financial capabilities,TRUE
Floating Rate Option,TRUE
further liability,TRUE
further liability hereunder,FALSE
Guarantor's liability,TRUE
HOURLY ESTIMATES,FALSE
ideal lawyer,TRUE
ISDA Definitions,TRUE
own investment objectives,TRUE
Law Department,TRUE
LAW OF THE STATE OF TEXAS,FALSE
loss of profits,TRUE
Master Number,TRUE
material non-public information,TRUE
most bullish thing,FALSE
bullish thing,TRUE
Multicurrency-Cross Border,TRUE
Neither Party A,TRUE
net-share settlement,TRUE
NOMINATION TIME,FALSE
normal business hours,TRUE
other similar form,FALSE
similar form,TRUE
wood products transactions,TRUE
other wood products transactions,FALSE
payment obligation,TRUE
Physical Contracts,TRUE
POST PETITION,FALSE
post-petition demand charges,TRUE
postage prepaid,TRUE
price target,TRUE
Price Trigger Notice,TRUE
return receipt,TRUE
sellers need,TRUE
Settlement Currency,TRUE
Settlement Elections,TRUE
such an opinion,FALSE
such Enron Party,FALSE
Enron Party,TRUE
such Financial Transactions,FALSE
Financial Transactions,TRUE
such fractional Share,FALSE
fractional Share,TRUE
such Obligations hereunder,FALSE
Obligations hereunder,FALSE
such Power Transactions,FALSE
Power Transactions,TRUE
such registration statement,FALSE
registration statement,TRUE
such termination notice,FALSE
termination notice,TRUE
swap agreements,TRUE
Swap Transaction,TRUE
due and punctual payment,TRUE
first such transaction,TRUE
other Provisions Section,FALSE
Provisions Section,TRUE
Equity Notional,TRUE
cash dividend,TRUE
Early Termination,TRUE
Obligations hereunder,FALSE
such Power Transactions,FALSE
Power Transactions,TRUE
such registration statement,FALSE
registration statement,TRUE
such termination notice,FALSE
termination notice,TRUE
swap agreements,TRUE
Swap Transaction,TRUE
due and punctual payment,TRUE
first such transaction,TRUE
other Provisions Section,FALSE
Provisions Section,TRUE
Equity Notional,TRUE
cash dividend,TRUE
Early Termination,TRUE
